text,recommends,label,score
"Spot for a shot?   RIM!!

Bueller? 

Bueller?

Not a single commenter jumped to that conclusion besides me? 

Maybe an emu?",1,negative,0.6330440044403076
"I guess I must be getting better at solving. This was a 16 min Friday for me, a couple minutes over my PB. I didn't jibe with quite all the clues, but enjoyed some of the clever ones Deb mentioned. Thanks to Rafael for the late Friday fun!",0,positive,0.9565274715423584
"Friday puzzles are hard to react to because the difficulty. I feel this one lacked a level of delight to make up for the difficulty. Also, I can’t wait until NYT crosswords stop leaning on actors and political references from the 60s.",1,negative,0.7680255174636841
"Not my cup of tea, this one.",0,negative,0.8576610684394836
"V-DAY? Never have heard that before. VE-DAY and VJ-DAY, yes.",0,neutral,0.5594841837882996
Good puzzle but the NE corner defeated me - just not enough detail in the clues to allow me to build anything. Thanks.,0,negative,0.6202565431594849
Check the scores again….the Pack won.,1,neutral,0.6956038475036621
"I barely managed to ""eke"" this one out.  

I thought about half of them could have been reasonably placed in the tricky clues.  I don't know how many abbreviations I had of ""Austrailia"" for 27A, until I finally got the down words.  And it took me forever to get PROVISO from ""Part that may be contracted"".  I mean, I thought of everything that might be made shorter or smaller.

Also, I guess the NYT crossword is getting more ribald with ""TEAT"".  I immediately thought of that (of course) but assumed it was far too biological for the Times.",0,negative,0.65727299451828
"Not one of those who breezed through this. I found it hard. Finally got it, but it took me almost an hour and a half. I did not have trouble with hup, but KOA threw me because the clue said “organization.” I thought of it right away but I thought it was a business chain. Bad lighting was my favorite clue but it took forever to get, and that corner took the longest. Never heard of SRO, I always called that Section 8. I have yet to understand what aligindahouse means but I can probably live without knowing that. A feeling of accomplishment to finish this one!",0,negative,0.6790271401405334
"I surprised myself by how in sync I was with some of the clues and answers. Guesses turned out to be right: KANSAN, REED, PROVISO (which I didn’t quite get). 

I really liked this puzzle…",4,positive,0.9322810769081116
That was fun! Perfect for the day-after turkey coma.,4,positive,0.9757735133171082
