text,recommends,label,score
"Fun puzzle. It reminded me of one of my favorite lines in a movie, from “Sneakers” : “Shall I call you or shall I NUDGE you?”  This scene with Mary McDonnell and Stephen Tobolowsky was so good.",1,positive,0.9690200686454773
What does ANTED mean in relation to 33D?,0,neutral,0.9486323595046997
"While wending my way through the puzzle, which I found delightful, since it alluded to my old and very dear friend Alice B. Toklas, I never would have predicted that a large plurality of comments today would be about the shape of an OBOE.

More evidence that a lot of people, including me, don't read through the comments thoroughly before posting their own thoughts on things.",4,positive,0.6366502642631531
My first puzzle completed without reading the article or extensive research! You seasoned crossworders probably though this was really easy but i think I’m actually getting better at these!!,10,positive,0.9736340641975403
"The OBOE is NOT cylindrical. It is conical. It may appear cylindrical from a distance, but it is in fact significantly narrower at the top than at the bottom. This is one of the things, in addition to the double reed, that makes the oboe's sound so distinctive from the clarinet, which is actually cylindrical. The conical bore is also one of the reasons the oboe is such an expensive instrument. The wood - usually grenadilla, sometimes rosewood - has to be especially hard and well-aged to withstand the conical boring process. Here is a fascinating video on how an oboe is made. https://youtu.be/_xOj9bLkYVQ?si=D7SCdfB_pn09XYP9",7,neutral,0.7291712164878845
"Saved this to enjoy at the end of a busy Monday, and it was perfect, fast but colorful !

Made those baked goods with friends in college; we had no idea what we were doing and dumped our little bag into the batter, stems leaves and all. Roughage, I guess. Fun memory 😊.",4,positive,0.9673047661781311
I wish the editors and/or constructors would stop using “etch” as the equivalent of “engrave”. Etching is done with acid while engraving is done with a sharp metal implement which directly scores the plate.,0,negative,0.8462873697280884
"""Winter hours in NYC?"" I am certain that it's EST there year-round.",0,neutral,0.7734059691429138
"Thanks, Jess and Amie! Finished about average for Monday except a typo so time’s still ticking!






Emu",3,positive,0.9414036870002747
"Yay Jess and Amie! What a fun Monday to kick off the week. The Little Red Hen brought back memories of the Little Golden Book hardcover from my childhood which I then read to Spencer.

Will seek you out to say hi at ACPT in April! :)",4,positive,0.9869972467422485
"Wondering if today's puzzle writers got OBOE (which is not a very long instrument, and also happens to be conical and not cylindrical,) mixed up with the bassoon?!",2,neutral,0.7312116622924805
"I was surprised to see the answer to 28D PEONS, a racist term usually used to refer to people of Latin descent. Not something I would expect to see in a New York Times crossword puzzle.",0,negative,0.8796338438987732
"Thanks, Jess and Amie!
A fun, breezy puzzle.
Probably my fastest time for a Monday.

Monty Python came to mind immediately, of course. But is that the only skit where they used nudge-nudge-wink-wink?",2,positive,0.9623461961746216
"P.S.
I completely forgot about the truly peculiar suggestion of LARD in pie crust.  Ewww.  (Maybe British cookery? Ducking and running...)

Not even for biscuits.  Vegetable shortening (or if entertaining royalty, butter.)",1,negative,0.8044858574867249
